Wall time,Step,Value
1721105953.6500745,0,109.04381561279297
1721105983.9477081,1000,111.9301528930664
1721106012.1609874,2000,121.53081512451172
1721106040.5918555,3000,111.96601104736328
1721106068.9030712,4000,112.3843765258789
1721106097.2207448,5000,111.09213256835938
1721106126.0235329,6000,119.25241088867188
1721106155.472599,7000,115.5103530883789
1721106183.5948043,8000,114.23961639404297
1721106211.8407128,9000,120.46944427490234
1721106240.3514001,10000,114.84130096435547
1721106268.5772712,11000,119.4012222290039
1721106297.0662134,12000,113.33940124511719
1721106324.6957326,13000,126.54608917236328
1721106352.1910985,14000,124.39635467529297
1721106379.6840672,15000,119.29777526855469
1721106407.3259735,16000,117.7680892944336
1721106434.9541605,17000,126.61019897460938
1721106462.7047057,18000,124.61772155761719
1721106490.4494214,19000,137.90638732910156
1721106518.1335244,20000,138.5740509033203
1721106545.8873346,21000,133.08921813964844
1721106573.6222203,22000,135.2100067138672
1721106601.8428574,23000,143.59359741210938
1721106629.3247244,24000,139.0884552001953
1721106657.235328,25000,130.67538452148438
1721106684.7032099,26000,127.52128601074219
1721106712.2291102,27000,137.55857849121094
1721106739.7083573,28000,127.62413787841797
1721106767.1583395,29000,135.38621520996094
1721106794.6448393,30000,134.88369750976562
1721106822.1514583,31000,132.51412963867188
1721106849.791869,32000,129.32081604003906
1721106877.9068377,33000,129.2080535888672
1721106905.9271696,34000,139.23158264160156
1721106933.849875,35000,133.8791961669922
1721106961.8182814,36000,131.6919403076172
1721106989.773217,37000,131.98439025878906
1721107017.877294,38000,130.56735229492188
1721107046.2301335,39000,133.31809997558594
1721107074.4524033,40000,137.08740234375
1721107102.3011742,41000,133.17416381835938
1721107129.8083093,42000,131.26763916015625
1721107157.3211641,43000,138.31936645507812
1721107185.5524318,44000,136.21240234375
1721107213.044035,45000,132.25743103027344
1721107240.7147076,46000,135.48934936523438
1721107268.3996403,47000,138.03689575195312
1721107296.226978,48000,127.63619995117188
1721107323.9263158,49000,135.34352111816406
1721107351.2306707,50000,127.82099151611328
1721107378.5416586,51000,130.44874572753906
1721107405.9066753,52000,134.32266235351562
1721107433.3162825,53000,135.6925506591797
1721107460.533507,54000,136.04714965820312
1721107487.8504946,55000,130.37228393554688
1721107515.17549,56000,133.8400115966797
1721107542.4747524,57000,139.49676513671875
1721107569.9500203,58000,138.65521240234375
1721107597.4801543,59000,136.53228759765625
1721107624.9388027,60000,137.3730010986328
1721107652.377682,61000,139.1617889404297
1721107679.8545003,62000,138.3904266357422
1721107707.3972807,63000,142.55877685546875
1721107734.842797,64000,128.67660522460938
1721107762.43413,65000,134.5855255126953
1721107789.9455693,66000,135.60452270507812
1721107817.4390461,67000,134.41273498535156
1721107845.0296922,68000,134.60719299316406
1721107872.56854,69000,135.94688415527344
1721107900.1534562,70000,141.92758178710938
1721107928.4161873,71000,134.5916290283203
1721107956.3048267,72000,136.41989135742188
1721107984.0954242,73000,145.14231872558594
1721108011.7165506,74000,133.19952392578125
1721108039.265216,75000,141.61810302734375
1721108066.7271104,76000,134.40878295898438
1721108094.2081277,77000,136.56141662597656
1721108121.5985565,78000,133.85513305664062
1721108148.9748037,79000,136.3406524658203
1721108176.2776089,80000,138.8692169189453
1721108203.680057,81000,137.3317413330078
1721108231.1804125,82000,131.11624145507812
1721108258.6175122,83000,137.06056213378906
1721108286.0494103,84000,142.55282592773438
1721108313.7029667,85000,134.419677734375
1721108341.3362837,86000,143.66122436523438
1721108369.0158906,87000,138.51388549804688
1721108396.703184,88000,132.607177734375
1721108424.3955662,89000,135.0307159423828
1721108452.094894,90000,135.40237426757812
1721108479.7387094,91000,139.01426696777344
1721108507.4442616,92000,134.43276977539062
1721108535.345686,93000,136.39158630371094
1721108563.2963214,94000,139.9580535888672
1721108591.1824412,95000,132.1692352294922
1721108619.181053,96000,136.6525115966797
1721108647.1074915,97000,141.537353515625
1721108675.0580192,98000,132.38006591796875
1721108702.9334807,99000,138.71597290039062
1721108730.7997136,100000,139.3040771484375
